player_key,canonical_player_id,canonical_player_name,display_player_name,three_wicket_innings,five_wicket_innings,ten_wicket_matches,bbi,bbi_wickets_sort,bbi_runs_sort
raw_391168c4_7e8e_42f2_ab5c_96a72a484ed3,raw_391168c4_7e8e_42f2_ab5c_96a72a484ed3,Callam Mckeough,Callam Mckeough,2,0,0,3/0,3,0
raw_38eee2e7_4a6f_40b3_a4f2_2eb24fbe421b,raw_38eee2e7_4a6f_40b3_a4f2_2eb24fbe421b,Callan Marsh,Callan Marsh,0,0,0,1/5,1,5
raw_427720ca_acbd_4e70_9ea1_ab061c431036,raw_427720ca_acbd_4e70_9ea1_ab061c431036,Callan Semple,Callan Semple,2,0,0,3/17,3,17
raw_e5649512_d5c2_43ed_be4d_3c877087fea7,raw_e5649512_d5c2_43ed_be4d_3c877087fea7,Callum Jackson,Callum Jackson,0,0,0,2/14,2,14
raw_87b0c9ce_e0cb_4e26_b70c_6d3cb59322fa,raw_87b0c9ce_e0cb_4e26_b70c_6d3cb59322fa,Callum Niederer,Callum Niederer,1,0,0,3/19,3,19
raw_5dc03adb_3577_4632_9377_dae27b5c2fb6,raw_5dc03adb_3577_4632_9377_dae27b5c2fb6,Callum Rice,Callum Rice,1,0,0,3/5,3,5
raw_a9301e4b_af5c_41d1_8a8f_334a0ca087a6,raw_a9301e4b_af5c_41d1_8a8f_334a0ca087a6,Callum Spall,Callum Spall,0,0,0,2/19,2,19
cameron_baldock,cameron_baldock,Cameron Baldock,Cameron Baldock,0,0,0,2/3,2,3
raw_e15633c5_bb58_433e_ba06_3236a1554599,raw_e15633c5_bb58_433e_ba06_3236a1554599,Cameron Berkefeld,Cameron Berkefeld,0,0,0,1/2,1,2
raw_9c751020_03e0_414b_82d8_feeb08374f22,raw_9c751020_03e0_414b_82d8_feeb08374f22,Cameron Bosman,Cameron Bosman,1,0,0,3/24,3,24
raw_3f831d40_ca26_4233_9b4e_a0dea383bc6e,raw_3f831d40_ca26_4233_9b4e_a0dea383bc6e,Cameron Bull,Cameron Bull,0,0,0,2/6,2,6
raw_4e1615c5_d657_4d90_a0c2_fbe16dbff58e,raw_4e1615c5_d657_4d90_a0c2_fbe16dbff58e,Cameron Clarke,Cameron Clarke,0,0,0,2/13,2,13
raw_7b01f955_4425_4779_8a2e_0b18d9ab6f26,raw_7b01f955_4425_4779_8a2e_0b18d9ab6f26,Cameron Cooper,Cameron Cooper,3,0,0,4/12,4,12
cameron_green,cameron_green,Cameron Green,Cameron Green,1,0,0,3/9,3,9
raw_36f8f485_7b60_4b45_9002_d29897a136c8,raw_36f8f485_7b60_4b45_9002_d29897a136c8,Cameron Mcinnes,Cameron Mcinnes,1,0,0,3/22,3,22
raw_1a69b5d8_da3a_4162_b50b_61a08660d572,raw_1a69b5d8_da3a_4162_b50b_61a08660d572,Cameron Pannach,Cameron Pannach,59,19,0,7/16,7,16
raw_2b5a0ca0_c5f5_4db8_b97b_817a0e2f5c1c,raw_2b5a0ca0_c5f5_4db8_b97b_817a0e2f5c1c,Cameron Prior,Cameron Prior,1,0,0,3/1,3,1
raw_1c1fdba0_19ea_4e02_99cb_8e0b2fe52239,raw_1c1fdba0_19ea_4e02_99cb_8e0b2fe52239,Cameron Smith,Cameron Smith,0,0,0,2/20,2,20
raw_2a524cef_a3f5_48c9_b069_e18446046cd9,raw_2a524cef_a3f5_48c9_b069_e18446046cd9,Cameron Temme,Cameron Temme,1,0,0,3/20,3,20
raw_cb1c13e8_b369_4e71_a89c_c6ed17e74c02,raw_cb1c13e8_b369_4e71_a89c_c6ed17e74c02,Cameron Williams,Cameron Williams,0,0,0,1/7,1,7
campbell_loizi,campbell_loizi,Campbell Loizi,Campbell Loizi,1,0,0,4/21,4,21
raw_4cad124f_3827_4b84_b096_cea3482a214f,raw_4cad124f_3827_4b84_b096_cea3482a214f,Carex Thomas,Carex Thomas,0,0,0,2/8,2,8
raw_a4d4d7f1_fa00_484f_bd63_995f1fa07be7,raw_a4d4d7f1_fa00_484f_bd63_995f1fa07be7,Carrie Julian,Carrie Julian,0,0,0,0/13,0,13
raw_c47d2005_0b6a_466d_8df6_e0f61b5686ec,raw_c47d2005_0b6a_466d_8df6_e0f61b5686ec,Carter Hodge,Carter Hodge,0,0,0,1/4,1,4
carter_shaw,carter_shaw,Carter Shaw,Carter Shaw,10,1,0,6/40,6,40
cayden_ford,cayden_ford,Cayden Ford,Cayden Ford,0,0,0,2/15,2,15
raw_122f83f9_cdbc_41ff_ae92_28b4c71a9df7,raw_122f83f9_cdbc_41ff_ae92_28b4c71a9df7,Charlie Foster,Charlie Foster,0,0,0,1/8,1,8
charlie_hayford,charlie_hayford,Charlie Hayford,Charlie Hayford,0,0,0,2/13,2,13
raw_c80c20e8_98cf_4bdb_9ed1_7413f5cb56da,raw_c80c20e8_98cf_4bdb_9ed1_7413f5cb56da,Charlotte Julian,Charlotte Julian,1,0,0,3/4,3,4
raw_0cf2cd71_d9af_46aa_bfe4_5cf1f71d9a4f,raw_0cf2cd71_d9af_46aa_bfe4_5cf1f71d9a4f,Chase Humphrey,Chase Humphrey,1,0,0,3/13,3,13
raw_783ceda2_9b7f_45d6_9243_1547bca20fc4,raw_783ceda2_9b7f_45d6_9243_1547bca20fc4,Chris Martins,Chris Martins,0,0,0,2/14,2,14
raw_0d60f930_4156_4d5d_926f_4a3948e0d743,raw_0d60f930_4156_4d5d_926f_4a3948e0d743,Christian Harrison,Christian Harrison,0,0,0,1/0,1,0
raw_98a70454_9e03_4288_a61c_fc1d27100cc8,raw_98a70454_9e03_4288_a61c_fc1d27100cc8,Christian Prescott,Christian Prescott,0,0,0,1/4,1,4
raw_dbed6f77_3bb3_49b8_b3cd_50b9e582aed7,raw_dbed6f77_3bb3_49b8_b3cd_50b9e582aed7,Claire Oddie,Claire Oddie,1,0,0,3/2,3,2
claudia_castanelli,claudia_castanelli,Claudia Castanelli,Claudia Castanelli,7,1,0,5/9,5,9
raw_38fd24df_37e1_41e2_bf56_1eb702e1f40d,raw_38fd24df_37e1_41e2_bf56_1eb702e1f40d,Cody Johnson,Cody Johnson,0,0,0,1/10,1,10
raw_35da57ba_036e_4b08_9134_08847333bb01,raw_35da57ba_036e_4b08_9134_08847333bb01,Cody Oliver,Cody Oliver,0,0,0,2/15,2,15
raw_875cfb20_4afb_4dc7_a87d_778719d48a91,raw_875cfb20_4afb_4dc7_a87d_778719d48a91,Cody Prime,Cody Prime,1,0,0,3/11,3,11
raw_2778262a_0161_459d_addd_9c056886d2ae,raw_2778262a_0161_459d_addd_9c056886d2ae,Colin Rowston,Colin Rowston,2,1,0,5/4,5,4
raw_d274683c_8bde_4587_951c_868bb12ba80e,raw_d274683c_8bde_4587_951c_868bb12ba80e,Colin Rowston,Colin Rowston,1,0,0,3/2,3,2
raw_b97e7972_534e_4799_a6ee_b06f91edc4a2,raw_b97e7972_534e_4799_a6ee_b06f91edc4a2,Connor Grant,Connor Grant,0,0,0,2/0,2,0
raw_e31a6196_b0a9_4e31_ac1d_c18f8c038199,raw_e31a6196_b0a9_4e31_ac1d_c18f8c038199,Conrad Robberts,Conrad Robberts,0,0,0,0/60,0,60
raw_9439b191_a3f3_4009_a74a_f5c88b613f50,raw_9439b191_a3f3_4009_a74a_f5c88b613f50,Cooper Barnes,Cooper Barnes,0,0,0,1/8,1,8
raw_b3c7c939_5eb0_41ee_9f03_6249839a3eae,raw_b3c7c939_5eb0_41ee_9f03_6249839a3eae,Cooper Castle,Cooper Castle,2,1,0,5/23,5,23
raw_783df2d9_1bd4_4080_ad67_152b3dfb5768,raw_783df2d9_1bd4_4080_ad67_152b3dfb5768,Cooper Harrison,Cooper Harrison,1,0,0,3/21,3,21
raw_e569750d_dfdc_41f0_b774_aed2f23bb38a,raw_e569750d_dfdc_41f0_b774_aed2f23bb38a,Cooper Hunter,Cooper Hunter,0,0,0,1/11,1,11
cooper_knowles,cooper_knowles,Cooper Knowles,Cooper Knowles,8,2,0,5/12,5,12
raw_ec4376e4_889f_4ed9_b920_e8696d975aad,raw_ec4376e4_889f_4ed9_b920_e8696d975aad,Cooper Lambe,Cooper Lambe,3,0,0,3/7,3,7
raw_a2ec7370_b9ce_4dc5_b424_ffbbf6b8d5f7,raw_a2ec7370_b9ce_4dc5_b424_ffbbf6b8d5f7,Cooper Mcewan,Cooper Mcewan,0,0,0,2/1,2,1
raw_aa20a607_67fa_4036_ac5b_3c273130d76f,raw_aa20a607_67fa_4036_ac5b_3c273130d76f,Cooper O'Shae,Cooper O'Shae,0,0,0,2/4,2,4
raw_c66035bb_c57a_47d0_b203_40a47e37926a,raw_c66035bb_c57a_47d0_b203_40a47e37926a,Cooper O'Shea,Cooper O'Shea,1,0,0,4/4,4,4
